"VideoAnalysis: Time (s)","VideoAnalysis: X (m)","VideoAnalysis: Y (m)","VideoAnalysis: X Velocity (m/s)","VideoAnalysis: Y Velocity (m/s)"
3.267,1.90793516572,1.98063103817,-0.0220434972711,-1.13836567997
3.3,1.90467799225,1.94480212992,0.0504717175203,-1.24672786132
3.333,1.9111923392,1.90571604819,0.0810851363182,-1.47268283296
3.367,1.91444951268,1.85034409907,0.00816334204856,-1.81288758794
3.4,1.9111923392,1.78520062953,-0.0520249124168,-2.21143811836
3.433,1.90793516572,1.70377129259,-0.029756295574,-2.59317576401
3.467,1.90793516572,1.60931326175,0.0351849180363,-2.89944943216
3.5,1.9111923392,1.50834088395,0.0818013117436,-3.16216890137
3.533,1.91444951268,1.39759698572,0.0921251426319,-3.34672625346
3.567,1.91770668616,1.28685308749,0.0866761118145,-3.59877400824
3.6,1.92096385963,1.15982332187,0.0516971326345,-3.94115412719
3.633,1.92096385963,1.02302203582,0.0188582339391,-4.21654679726
3.667,1.92422103311,0.879706402815,-0.0594921827928,-4.53916755786
3.7,1.91444951268,0.723362075901,-1.5068552202,-4.86276775336
3.733,1.91770668616,0.540960361168,-6.06900487252,-4.66843759033
3.767,1.91444951268,0.384616034254,-20.797781871,-3.81897833239
3.8,0.191404743147,0.309701044274,-37.5670470955,-2.97505452361
